ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
14,MOOSE,Drag,1,1,1,1,1,854,32,3.0,100,DOWN,411,18.0,true,28219,21920,4304,1260,5039,0,2,1,DOWN,3.0,194.0,464.0,1079.499,1905.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,2,1,2,854,32,6.0,100,UP,306,18.0,true,13178,11247,2128,541,1390,-1,1,1,DOWN,3.0,25.0,189.0,1079.0,1919.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,3,1,3,854,32,3.0,300,UP,320,18.0,true,18444,16544,1610,1117,783,0,1,1,DOWN,2.0,33.0,176.5,606.0,1919.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,4,1,4,854,32,6.0,50,DOWN,302,18.0,true,6040,4015,1551,1142,883,0,1,1,DOWN,1.0,357.0,391.0,471.0,852.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,5,1,5,854,32,3.0,200,DOWN,429,18.0,true,10107,8895,1600,562,650,0,1,1,DOWN,1.0,313.0,314.0,520.0,997.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,6,1,6,854,32,6.0,300,UP,309,18.0,true,9934,8225,992,1121,588,-1,1,1,DOWN,1.0,239.0,58.5,539.0,1107.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,7,1,7,854,32,3.0,50,DOWN,296,18.0,true,4889,3344,1696,756,789,0,1,1,DOWN,1.0,283.0,562.0,315.0,1191.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,8,1,8,854,32,6.0,200,UP,296,18.0,true,7752,6127,896,749,876,0,1,1,UP,1.0,151.0,330.0,454.0,1123.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,9,2,1,854,32,6.0,50,UP,554,18.0,true,5875,3696,1392,723,1456,-1,1,1,DOWN,1.0,137.0,249.0,596.0,677.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,10,2,2,854,32,3.0,200,UP,199,18.0,true,8060,7008,1313,531,521,0,2,1,UP,1.0,197.0,46.0,548.477,998.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,11,2,3,854,32,6.0,100,DOWN,259,18.0,true,5739,4896,1984,160,683,0,2,1,UP,1.0,211.0,419.0,415.0,1293.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,12,2,4,854,32,6.0,200,DOWN,348,18.0,true,7442,6704,1808,132,606,0,2,1,DOWN,1.0,207.0,503.0,368.0,1325.5,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,13,2,5,854,32,3.0,50,UP,241,18.0,true,4959,4352,1936,92,515,0,1,1,DOWN,1.0,103.0,344.0,401.0,1106.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,14,2,6,854,32,3.0,300,DOWN,780,18.0,true,8112,7201,1211,204,707,0,1,1,DOWN,1.0,143.0,455.0,412.0,1448.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,15,2,7,854,32,6.0,300,DOWN,571,18.0,true,7212,6974,880,206,32,0,1,1,UP,1.0,131.0,446.0,378.66,1443.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,16,2,8,854,32,3.0,100,UP,360,18.0,true,5984,4848,1408,423,713,0,1,2,DOWN,1.0,0.0,369.0,300.0,1022.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,17,3,1,854,32,6.0,200,UP,204,18.0,true,8759,7009,944,606,1144,-1,1,1,DOWN,1.0,47.0,215.0,577.0,980.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,18,3,2,854,32,6.0,50,DOWN,531,18.0,true,2905,1857,577,466,582,0,1,1,DOWN,1.0,143.5,505.0,188.0,1062.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,19,3,3,854,32,3.0,300,UP,523,18.0,true,10246,9296,1440,228,722,0,1,1,UP,1.0,0.0,217.0,383.722,1166.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,20,3,4,854,32,3.0,200,DOWN,510,18.0,true,5518,4304,1200,294,920,0,1,1,DOWN,1.0,138.0,527.0,455.523,1419.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,21,3,5,854,32,3.0,50,DOWN,582,18.0,true,3911,2817,1649,409,685,0,1,1,DOWN,1.0,318.0,616.0,398.0,1212.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,22,3,6,854,32,6.0,300,UP,307,18.0,true,9550,8528,1808,191,831,0,1,1,DOWN,1.0,147.404,190.5,642.0,1308.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,23,3,7,854,32,6.0,100,UP,418,18.0,true,5047,3505,521,796,746,0,1,1,DOWN,1.0,244.0,388.0,494.0,1075.5,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,24,3,8,854,32,3.0,100,DOWN,132,18.0,true,5257,4912,1327,293,52,0,1,1,UP,1.0,253.0,564.0,370.0,1208.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,25,4,1,854,32,3.0,100,UP,579,18.0,true,6607,4401,1381,966,1240,0,1,1,DOWN,1.0,95.0,234.5,475.0,1181.0,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,26,4,2,854,32,6.0,100,DOWN,235,18.0,true,5623,4639,1440,290,694,0,1,1,DOWN,1.0,170.0,623.0,299.0,1238.5,1080.0,1661.0,4.331,
14,MOOSE,Drag,1,1,27,4,3,854,32,3.0,200,UP,229,18.0,true,7512,6191,1248,539,782,0,2,1,DOWN,1.0,121.0,297.0,398.0,1384.0,1080.0,1661.0,4.331,
